用户昵称,分类,评价日期,评论
z***1,黑色,07.24,刚刚收到货，物流非常快，前天晚上下单，今天就到了，非常金典的黑色，是我喜欢的颜色，组装完后插电试了一下风力非常给力，可以遥控控制，大小档可以调节风力，有夜间模式，购物愉快，正准备再买一台！遥控器要是送电池就好了😁：)            07.24
我***杉,黑色,07.29,非常满意！高大上！现在可以好好享受了哈！两三天就到货啦！外光精致！很美哦        07.29
精***亡,黑色,07.27,草莓小妹妹客服很不错服务特别好，当然风扇才是最好的值得购买东西实惠        07.27
四***2,黑色,07.24,电风扇收到了，安装比较方便，到货后很快就安装好了，使用效果还不错，就是底盘有点小晃，估计是安装啥的没装好，价格和超市差不多，价格上优势不大，家里之前买过美的的风扇，一直比较好，这是继续入手美的。                        07.24
松***影,黑色,07.24,大气美观，物超所值，清凉舒爽，爸妈满意        07.24
爱***惜,黑色,07.28,货物已收到了，非常好的一款风扇，商家的服务非常好我非常满意非常感谢商家，比实体店的都好又实惠，大家放心在这商家购买                07.28
t***1,黑色,07.24,安装完毕，电风扇风蛮大的，外观非常漂亮        07.24
白***2,黑色,07.24,终于等到了，有分量，终于凉快了，草莓客服妹妹服务好 机器非常不错        07.24
清***2,黑色,07.21,电风扇收到了，外观很漂亮，质量很好，组装简单，试了下风也挺大，带遥控器的就是方便睡在床上就可以使用了，美的的品牌值得信赖            07.21解释：十分的感谢亲能在百忙中抽空给我们评价，美的环境电器官方旗舰店会秉着“顾客第一，服务第一”的宗旨，全心全意为您服务，如果在使用中或者是对产品有任何疑问，请及时与我们联系，我们一定为您提供最优质的解决方案，确保您售后无忧，欢迎您下次光临~~
t***8,黑色,07.29,收货迅速，安装简单，服务周到。好好用！五星好评？        07.29
t***7,黑色,07.19,美的电器大品牌值得信赖。不想买其他的牌子，信任美的。之前买过美的的转页扇。用了十多年了，质量非常好。想换一个大的，所以就买了这个型号的风扇。非常好，真的非常凉快。打算再入手一台给家里的人。        07.19解释：十分的感谢亲能在百忙中抽空给我们评价，美的环境电器官方旗舰店会秉着“顾客第一，服务第一”的宗旨，全心全意为您服务，如果在使用中或者是对产品有任何疑问，请及时与我们联系，我们一定为您提供最优质的解决方案，确保您售后无忧，欢迎您下次光临~~
龙***敌,黑色,07.18,质量很好，收到就装好试用了，声音小，风大，一直信赖美的，家里电器大部分多是美的，老牌子过硬！        07.18解释：感谢您对美的环境电器官方旗舰店的认可和支持，我们将会秉承“顾客第一，服务第一”的宗旨，全心全意为您服务，再次感谢您的光临！祝亲购物愉快、事事顺心，工作顺利！~~
s***1,黑色,07.25,宝贝刚刚安装好，安装简单款型也比较好看声音也很轻，家人很喜欢，还有价格也很满意，今天刚刚开始用，以后用多久不知道了，但愿质量杠杠的，总之喜欢，希望正打算买的人可以考虑一下美的电风扇        07.25
